
snd	9.0	S	727	0	0
rcv	22.0	SA	941	0	728
snd	27.0	A	728	0	942
snd	36.0	D	728	50	942
snd	54.0	D	778	50	942
drop	61.0	D	828	50	942
snd	67.0	D	878	50	942
snd	77.0	D	928	50	942
snd	86.0	D	978	50	942
snd	98.0	D	1028	50	942
snd	108.0	D	1078	50	942
drop	115.0	D	1128	50	942
snd	125.0	D	1178	50	942
rcv	137.0	A	942	0	778
snd	146.0	D	1228	50	942
rcv	191.0	A	942	0	828
snd	197.0	D	1278	50	942
rcv	258.0	A	942	0	828
rcv	312.0	A	942	0	828
snd	318.0	D	828	50	942
rcv	385.0	A	942	0	828
rcv	443.0	A	942	0	828
rcv	546.0	A	942	0	828
rcv	603.0	A	942	0	828
rcv	659.0	A	942	0	828
rcv	722.0	A	942	0	828
rcv	780.0	A	942	0	1128
snd	789.0	D	1328	50	942
rcv	840.0	A	942	0	1128
snd	1347.0	D	1128	50	942
rcv	1382.0	A	942	0	1378
snd	1390.0	D	1378	50	942
rcv	1440.0	A	942	0	1428
snd	1447.0	D	1428	50	942
rcv	1548.0	A	942	0	1478
snd	1558.0	D	1478	50	942
rcv	1625.0	A	942	0	1528
snd	1641.0	D	1528	50	942
rcv	1700.0	A	942	0	1578
snd	1708.0	D	1578	50	942
rcv	1758.0	A	942	0	1628
snd	1765.0	D	1628	50	942
rcv	1817.0	A	942	0	1678
snd	1826.0	D	1678	50	942
rcv	1878.0	A	942	0	1728
snd	1888.0	D	1728	50	942
rcv	1937.0	A	942	0	1778
snd	1942.0	D	1778	50	942
rcv	1964.0	A	942	0	1828
snd	1973.0	D	1828	50	942
rcv	1995.0	A	942	0	1878
snd	2006.0	D	1878	50	942
rcv	2031.0	A	942	0	1928
snd	2040.0	D	1928	50	942
rcv	2060.0	A	942	0	1978
snd	2072.0	D	1978	50	942
rcv	2095.0	A	942	0	2028
snd	2105.0	D	2028	50	942
rcv	2129.0	A	942	0	2078
snd	2143.0	D	2078	50	942
rcv	2171.0	A	942	0	2128
snd	2179.0	D	2128	50	942
rcv	2200.0	A	942	0	2178
snd	2214.0	D	2178	50	942
rcv	2249.0	A	942	0	2228
snd	2278.0	D	2228	50	942
rcv	2308.0	A	942	0	2278
snd	2315.0	D	2278	50	942
rcv	2341.0	A	942	0	2328
drop	2360.0	D	2328	50	942
snd	2866.0	D	2328	50	942
rcv	2880.0	A	942	0	2378
snd	2889.0	D	2378	50	942
rcv	2910.0	A	942	0	2428
snd	2921.0	D	2428	50	942
rcv	2940.0	A	942	0	2478
snd	2950.0	D	2478	50	942
rcv	2975.0	A	942	0	2528
snd	2981.0	D	2528	50	942
rcv	3009.0	A	942	0	2578
snd	3016.0	D	2578	50	942
rcv	3042.0	A	942	0	2628
snd	3050.0	D	2628	50	942
rcv	3078.0	A	942	0	2678
drop	3093.0	D	2678	50	942
snd	3607.0	D	2678	50	942
rcv	3624.0	A	942	0	2728
snd	3629.0	D	2728	10	942
rcv	3655.0	A	942	0	2738
snd	3669.0	F	2738	0	942
rcv	3688.0	FA	942	0	2739
snd	3695.0	A	2739	0	943
Amount of (original) Data Transferred: 2010
Number of data segments sent (excluding retransmissions): 41
Number of (all) Packets Dropped (by PLD module): 4
Number of Retransmitted Segments: 3
Number of Duplicate Acknowledgements Received: 9
